model,train_ratio,reduction_train,reduction_test,f_score
KNeighborsClassifier,0.9,0.0,0.25,0.570670205706702
KNeighborsClassifier,0.9,0.0,0.5,0.5029838022165388
KNeighborsClassifier,0.9,0.0,0.75,0.35194174757281554
KNeighborsClassifier,0.9,0.0,0.99,0.01629327902240326
KNeighborsClassifier,0.9,0.0,0.999,0.0
KNeighborsClassifier,0.9,0.25,0.0,0.6250000000000001
KNeighborsClassifier,0.9,0.25,0.25,0.5905143620574483
KNeighborsClassifier,0.9,0.25,0.5,0.494283201407212
KNeighborsClassifier,0.9,0.25,0.75,0.37174721189591076
KNeighborsClassifier,0.9,0.25,0.99,0.02127659574468085
KNeighborsClassifier,0.9,0.25,0.999,0.0
KNeighborsClassifier,0.9,0.5,0.0,0.6233618233618233
KNeighborsClassifier,0.9,0.5,0.25,0.580872011251758
KNeighborsClassifier,0.9,0.5,0.5,0.4986098239110287
KNeighborsClassifier,0.9,0.5,0.75,0.3942181340341655
KNeighborsClassifier,0.9,0.5,0.99,0.018912529550827426
KNeighborsClassifier,0.9,0.5,0.999,0.0
KNeighborsClassifier,0.9,0.75,0.0,0.5633986928104574
KNeighborsClassifier,0.9,0.75,0.25,0.538961038961039
KNeighborsClassifier,0.9,0.75,0.5,0.4760869565217391
KNeighborsClassifier,0.9,0.75,0.75,0.37277147487844403
KNeighborsClassifier,0.9,0.75,0.99,0.031746031746031744
KNeighborsClassifier,0.9,0.75,0.999,0.0
KNeighborsClassifier,0.9,0.99,0.0,0.14705882352941177
KNeighborsClassifier,0.9,0.99,0.25,0.1437125748502994
KNeighborsClassifier,0.9,0.99,0.5,0.1288888888888889
KNeighborsClassifier,0.9,0.99,0.75,0.15
KNeighborsClassifier,0.9,0.99,0.99,0.125
KNeighborsClassifier,0.9,0.99,0.999,0.0
KNeighborsClassifier,0.9,0.999,0.0,0.027261462205700127
KNeighborsClassifier,0.9,0.999,0.25,0.01
KNeighborsClassifier,0.9,0.999,0.5,0.01
KNeighborsClassifier,0.9,0.999,0.75,0.01990049751243781
KNeighborsClassifier,0.9,0.999,0.99,0.0
KNeighborsClassifier,0.9,0.999,0.999,0.0
LinearSVC,0.5,0.0,0.0,0.6149512023342388
LinearSVC,0.5,0.0,0.25,0.5706686011365011
LinearSVC,0.5,0.0,0.5,0.47812692544670365
LinearSVC,0.5,0.0,0.75,0.32778597008637034
LinearSVC,0.5,0.0,0.99,0.018276762402088774
LinearSVC,0.5,0.0,0.999,0.001332001332001332
LinearSVC,0.5,0.25,0.0,0.6225218878937305
LinearSVC,0.5,0.25,0.25,0.5665812278774562
LinearSVC,0.5,0.25,0.5,0.473208722741433
LinearSVC,0.5,0.25,0.75,0.32694763729246484
LinearSVC,0.5,0.25,0.99,0.020475561426684285
LinearSVC,0.5,0.25,0.999,0.0020236087689713324
LinearSVC,0.5,0.5,0.0,0.616663288060004
LinearSVC,0.5,0.5,0.25,0.5637501533930543
LinearSVC,0.5,0.5,0.5,0.4708646616541353
LinearSVC,0.5,0.5,0.75,0.32870271425518266
LinearSVC,0.5,0.5,0.99,0.020611702127659576
LinearSVC,0.5,0.5,0.999,0.0013586956521739132
LinearSVC,0.5,0.75,0.0,0.6177692229763955
LinearSVC,0.5,0.75,0.25,0.562123632788497
LinearSVC,0.5,0.75,0.5,0.4774535809018567
LinearSVC,0.5,0.75,0.75,0.3256212510711226
